Epoch	Train_Loss	Val_Loss
1	0.126465	0.003628
2	0.002604	0.001899
3	0.002671	0.002236
4	0.002315	0.001973
5	0.002115	0.001184
6	0.001831	0.001008
7	0.001844	0.001121
8	0.001824	0.001517
9	0.001810	0.003415
10	0.001087	0.001937
11	0.000727	0.001944
12	0.000665	0.001528
13	0.000616	0.001507
14	0.000573	0.001548
15	0.000541	0.001389
16	0.000504	0.001127
17	0.000479	0.001156
18	0.000453	0.001263
19	0.000423	0.001308
20	0.000402	0.000988
21	0.000388	0.000847
22	0.000370	0.001098
23	0.000348	0.000826
24	0.000333	0.000710
25	0.000320	0.000660
26	0.000309	0.000732
27	0.000293	0.000647
28	0.000280	0.000638
29	0.000271	0.000607
30	0.000260	0.000427
31	0.000251	0.000406
32	0.000242	0.000428
33	0.000236	0.000445
34	0.000229	0.000368
35	0.000223	0.000375
36	0.000218	0.000346
37	0.000213	0.000270
38	0.000210	0.000289
39	0.000206	0.000211
40	0.000205	0.000244
41	0.000200	0.000257
42	0.000199	0.000241

Final Test Loss: 0.000535
