Epoch	Train_Loss	Val_Loss
1	0.222914	0.079451
2	0.018345	0.006256
3	0.003954	0.004259
4	0.002846	0.002681
5	0.003168	0.001983
6	0.003029	0.002149
7	0.002075	0.002217
8	0.002319	0.003654
9	0.001207	0.002602
10	0.001015	0.002521
11	0.000944	0.002323
12	0.000916	0.002257
13	0.000876	0.002300
14	0.000840	0.002077
15	0.000830	0.002193
16	0.000791	0.002391
17	0.000767	0.001878
18	0.000739	0.001781
19	0.000728	0.001856
20	0.000701	0.001850
21	0.000678	0.001743
22	0.000656	0.001511
23	0.000645	0.001480
24	0.000635	0.001624
25	0.000610	0.001528
26	0.000590	0.001476
27	0.000574	0.001593
28	0.000560	0.001413
29	0.000547	0.001446
30	0.000535	0.001252
31	0.000522	0.001337
32	0.000508	0.001486
33	0.000496	0.001386

Final Test Loss: 0.003298
