Epoch	Train_Loss	Val_Loss
1	0.143226	0.014773
2	0.011850	0.003336
3	0.009886	0.003814
4	0.006511	0.001944
5	0.006620	0.002199
6	0.004762	0.002855
7	0.004169	0.002168
8	0.001612	0.002730
9	0.001078	0.002313
10	0.000951	0.001555
11	0.000863	0.001351
12	0.000794	0.001088
13	0.000738	0.001047
14	0.000709	0.001035
15	0.000664	0.001128
16	0.000640	0.001009
17	0.000607	0.000760
18	0.000588	0.001373
19	0.000571	0.001093
20	0.000564	0.000687
21	0.000550	0.000767
22	0.000532	0.000748
23	0.000520	0.000807

Final Test Loss: 0.001937
