Epoch	Train_Loss	Val_Loss
1	0.070323	0.003502
2	0.003060	0.015039
3	0.002979	0.002588
4	0.002488	0.003772
5	0.001959	0.002752
6	0.001772	0.002497
7	0.001419	0.002480
8	0.001414	0.003223
9	0.001494	0.003507
10	0.000872	0.001183
11	0.001102	0.012587
12	0.000891	0.001062
13	0.000896	0.001778
14	0.001071	0.001364
15	0.003010	0.002191
16	0.000181	0.001006
17	0.000134	0.000840
18	0.000119	0.000729
19	0.000110	0.000660
20	0.000103	0.000589
21	0.000098	0.000533
22	0.000094	0.000505
23	0.000091	0.000455
24	0.000089	0.000439
25	0.000086	0.000388
26	0.000084	0.000380
27	0.000083	0.000378
28	0.000081	0.000362
29	0.000080	0.000349
30	0.000078	0.000348
31	0.000077	0.000313
32	0.000076	0.000313
33	0.000075	0.000290
34	0.000074	0.000302
35	0.000073	0.000274
36	0.000073	0.000269
37	0.000072	0.000250
38	0.000071	0.000267
39	0.000070	0.000269
40	0.000070	0.000248
41	0.000069	0.000239
42	0.000069	0.000242
43	0.000068	0.000250
44	0.000068	0.000229
45	0.000067	0.000218
46	0.000067	0.000240
47	0.000066	0.000222
48	0.000066	0.000216
49	0.000066	0.000218
50	0.000065	0.000219
51	0.000065	0.000200
52	0.000065	0.000187
53	0.000064	0.000212
54	0.000064	0.000206
55	0.000064	0.000197

Final Test Loss: 0.000681
