Epoch	Train_Loss	Val_Loss
1	0.141662	0.011037
2	0.017311	0.005509
3	0.012070	0.004290
4	0.007043	0.002349
5	0.007163	0.004218
6	0.004716	0.002604
7	0.003661	0.002259
8	0.003204	0.002901
9	0.002879	0.004178
10	0.002364	0.001851
11	0.002293	0.001779
12	0.002048	0.001089
13	0.001661	0.000995
14	0.001861	0.001516
15	0.001626	0.001376
16	0.002002	0.002805
17	0.000939	0.002151
18	0.000784	0.002172
19	0.000670	0.002175
20	0.000529	0.001396
21	0.000415	0.001245
22	0.000326	0.001126
23	0.000268	0.000836
24	0.000247	0.000712
25	0.000233	0.000529
26	0.000224	0.000513
27	0.000215	0.000530
28	0.000210	0.000460
29	0.000203	0.000537
30	0.000191	0.000465
31	0.000183	0.000414
32	0.000175	0.000424
33	0.000167	0.000407
34	0.000160	0.000406
35	0.000152	0.000327
36	0.000145	0.000314
37	0.000139	0.000304
38	0.000133	0.000307
39	0.000127	0.000364
40	0.000124	0.000270
41	0.000120	0.000260
42	0.000117	0.000282
43	0.000114	0.000330
44	0.000114	0.000254
45	0.000109	0.000262
46	0.000109	0.000235
47	0.000107	0.000259
48	0.000106	0.000230
49	0.000104	0.000182
50	0.000104	0.000212
51	0.000101	0.000173
52	0.000100	0.000227
53	0.000101	0.000255
54	0.000098	0.000146
55	0.000098	0.000170
56	0.000097	0.000194
57	0.000096	0.000178

Final Test Loss: 0.000532
