Epoch	Train_Loss	Val_Loss
1	0.118197	0.006082
2	0.006798	0.005264
3	0.005260	0.002581
4	0.006183	0.002504
5	0.004146	0.002522
6	0.003501	0.002341
7	0.005059	0.003107
8	0.002986	0.003278
9	0.003567	0.002440
10	0.000761	0.002010
11	0.000591	0.001760
12	0.000490	0.001381
13	0.000413	0.001198
14	0.000364	0.001023
15	0.000317	0.000928
16	0.000288	0.000736
17	0.000265	0.000651
18	0.000248	0.000600
19	0.000235	0.000554
20	0.000222	0.000477
21	0.000213	0.000402
22	0.000205	0.000404
23	0.000199	0.000378
24	0.000191	0.000378
25	0.000186	0.000269
26	0.000181	0.000327
27	0.000175	0.000274
28	0.000174	0.000274

Final Test Loss: 0.001025
